car_model,km,car_type,out_color,in_color,seat_num,door_num,price,new_old,car_year,price.1,area
acura-mdx,0,SUV,Đen,Đen,7,5,630,Xe cũ,2007,630,TP HCM
acura-mdx,0,SUV,Bạc,Đen,7,5,580,Xe cũ,2007,580,Hà Nội
acura-mdx,0,SUV,Bạc,Nhiều màu,7,5,465,Xe cũ,2006,465,TP HCM
acura-mdx,0,SUV,Đen,Kem,7,5,4665,Xe mới,2016,4665,TP HCM
acura-mdx,9600,SUV,Trắng,Cát,7,5,3400,Xe cũ,2015,3400,TP HCM
acura-mdx,9700,SUV,Trắng,Kem,7,5,3450,Xe cũ,2015,3450,TP HCM
acura-mdx,80000,SUV,Đen,Đen,7,5,555,Xe cũ,2007,555,Hà Nội
acura-mdx,150000,SUV,Xám,Đen,7,5,639,Xe cũ,2008,639,Hà Nội
acura-mdx,80000,SUV,Đen,Đen,7,5,555,Xe cũ,2007,555,Hà Nội
acura-mdx,15000,SUV,Đen,Đen,7,5,690,Xe cũ,2008,690,Hà Nội
acura-mdx,83000,SUV,Vàng,Vàng,7,5,550,Xe cũ,2006,550,TP HCM
acura-mdx,100000,SUV,Đen,Đen,7,5,666,Xe cũ,2008,666,Hà Nội
acura-mdx,0,SUV,Đen,Đen,7,5,590,Xe cũ,2008,590,TP HCM
acura-zdx,0,Crossover,Bạc,Kem,5,5,1150,Xe cũ,2010,1150,Hà Nội
acura-zdx,60000,Crossover,Trắng,Kem,5,5,1250,Xe cũ,2009,1250,TP HCM
acura-zdx,0,Crossover,Nâu,Nâu,5,5,1250,Xe cũ,2009,1250,TP HCM
acura-zdx,0,Crossover,Trắng,Ghi,5,5,1180,Xe cũ,2010,1180,TP HCM
audi-q5,80000,SUV,Đen,Kem,5,5,750,Xe cũ,2011,750,Hà Nội
audi-q5,40000,SUV,Đen,Nâu,5,5,1890,Xe cũ,2017,1890,Hà Nội
audi-q5,24000,SUV,Trắng,Đen,5,5,1990,Xe cũ,2017,1990,Hà Nội
audi-q5,47000,SUV,Trắng,Nâu,5,5,1659,Xe cũ,2016,1659,Hà Nội
audi-q5,0,SUV,Đen,Màu khác,5,5,980,Xe cũ,2011,980,TP HCM
audi-q5,15000,SUV,Đen,Nâu,5,5,1860,Xe cũ,2017,1860,Hà Nội
audi-q5,45000,SUV,Đen,Nâu,5,5,1860,Xe cũ,2017,1860,Hà Nội
audi-q5,60000,SUV,Đen,Đen,5,5,1180,Xe cũ,2014,1180,Hà Nội
audi-q5,32000,SUV,Trắng,Đen,5,5,960,Xe cũ,2012,960,TP HCM
audi-q5,100000,SUV,Xanh,Đen,5,5,680,Xe cũ,2010,680,Hà Nội
audi-q5,59600,SUV,Trắng,Nâu,5,5,130,Xe cũ,2013,130,TP HCM
audi-q5,60000,SUV,Trắng,Nâu,5,5,890,Xe cũ,2012,890,Hà Nội
audi-q5,89000,SUV,Đen,Kem,5,5,750,Xe cũ,2011,750,Hà Nội
audi-q5,68000,SUV,Đen,Nâu,5,5,1250,Xe cũ,2013,1250,Hà Nội
audi-q5,70000,SUV,Nâu,Nâu,5,5,1339,Xe cũ,2014,1339,Hà Nội
audi-q5,49000,SUV,Trắng,Đen,5,5,1259,Xe cũ,2014,1259,Hà Nội
audi-q5,35000,SUV,Trắng,Nâu,5,4,890,Xe cũ,2012,890,Hà Nội
audi-q5,30000,SUV,Trắng,Nâu,5,5,1990,Xe cũ,2017,1990,Hà Nội
audi-q5,35000,SUV,Đen,Nâu,5,5,1180,Xe cũ,2014,1180,Hà Nội
audi-q5,0,SUV,Xanh,Nâu,5,5,700,Xe cũ,2011,700,Hà Nội
audi-q5,80000,SUV,Xanh,Kem,5,5,695,Xe cũ,2011,695,Hà Nội
audi-q5,75546,SUV,Đen,Đen,5,5,680,Xe cũ,2011,680,TP HCM
audi-q5,6,SUV,Trắng,Trắng,5,5,860,Xe cũ,2012,860,Hà Nội
audi-q5,10000,SUV,Đen,Đen,5,5,650,Xe cũ,2011,650,Hà Nội
audi-q5,99900,SUV,Nâu,Nâu,5,5,930,Xe cũ,2012,930,TP HCM
audi-q5,52000,SUV,Đen,Nâu,5,5,1789,Xe cũ,2016,1789,TP HCM
audi-q5,25000,SUV,Đen,Nâu,5,5,1899,Xe cũ,2017,1899,Hà Nội
audi-q5,61000,SUV,Đen,Đen,5,5,935,Xe cũ,2012,935,Hà Nội
audi-q5,0,SUV,Trắng,Đen,5,5,1250,Xe cũ,2014,1250,Hà Nội
audi-q5,60000,SUV,Đen,Nâu,5,5,1180,Xe cũ,2014,1180,Hà Nội
audi-q5,79000,SUV,Trắng,Đen,5,5,790,Xe cũ,2011,790,Hà Nội
audi-q5,14899,SUV,Đen,Nâu,5,5,1859,Xe cũ,2017,1859,Hà Nội
audi-q5,38000,SUV,Đen,Nâu,5,4,1830,Xe cũ,2018,1830,Hà Nội
audi-q5,0,SUV,Trắng,Nâu,5,5,2400,Xe mới,2019,2400,Hà Nội
audi-q5,0,SUV,Trắng,Nâu,5,5,180,Xe cũ,2014,180,Hà Nội
audi-q5,0,SUV,Trắng,Nâu,5,5,2400,Xe mới,2019,2400,Hà Nội
audi-q5,52000,SUV,Đen,Đen,5,5,1350,Xe cũ,2014,1350,Hà Nội
audi-q5,50000,SUV,Đồng,Kem,5,5,1200,Xe cũ,2015,1200,TP HCM
audi-q5,20000,SUV,Trắng,Nâu,5,5,1960,Xe cũ,2017,1960,Hà Nội
audi-q5,90000,SUV,Trắng,Nâu,5,5,980,Xe cũ,2012,980,Hà Nội
audi-q5,15000,SUV,Đen,Nâu,5,5,1880,Xe cũ,2017,1880,Hà Nội
audi-q5,49000,SUV,Trắng,Đen,5,5,1199,Xe cũ,2014,1199,TP HCM
audi-q5,40000,SUV,Trắng,Đen,5,5,1350,Xe cũ,2015,1350,Hà Nội
audi-q5,35000,SUV,Trắng,Nâu,5,5,1520,Xe cũ,2016,1520,TP HCM
audi-q5,34000,SUV,Trắng,Đen,5,5,289,Xe cũ,2017,289,Hà Nội
audi-q5,82000,SUV,Đen,Đen,5,5,980,Xe cũ,2011,980,Hà Nội
audi-q5,52700,SUV,Nâu,Trắng,5,5,150,Xe cũ,2013,150,TP HCM
